trigram	frequency
this is a	50
be able to	46
a way to	36
it would be	35
thank you for	31
to be able	30
this is an	24
would be nice	24
a lot of	23
is a great	22
out how to	19
figure out how	18
would be great	17
looking forward to	16
easy to use	16
being able to	16
be nice to	15
i love the	14
i think this	13
thank you so	12
would love to	12
you so much	11
think this is	11
if you could	11
look forward to	11
would be cool	11
is very cool	10
i am a	9
the ability to	9
there was a	9
in the future	9
library of congress	9
one of the	9
i would like	9
is an incredible	9
to be a	9
so much for	9
to use and	9
to download the	9
i look forward	9
to use the	9
this is amazing	9
part of the	9
would like to	8
this is really	8
this is so	8
able to download	8
samples from the	8
from multiple sources	8
be nice if	8
at the bottom	8
the site is	8
this is great	8
to have a	8
seem to be	8
be great to	8
i would love	8
play in context	8
the remix tool	8
is an amazing	8
i really like	8
nice to be	8
to figure out	8
for creating this	8
love to see	8
keep up the	8
be cool to	7
on the remix	7
how to use	7
i need to	7
if i could	7
like to be	7
i will be	7
if there was	7
to the full	7
i found the	7
a long time	7
difficult to use	7
i had to	7
is a little	7
to use in	7
you have to	7
a search function	7
i think it	7
bottom of the	7
i love it	7
a little more	7
is a bit	7
up the good	6
the bottom of	6
the good work	6
there is a	6
easy way to	6
a great idea	6
i will definitely	6
so i can	6
you for this	6
in the browser	6
to see the	6
i think that	6
the explore section	6
to explore it	6
i love this	6
a little bit	6
a great resource	6
to create a	6
the explore page	6
is easy to	6
i want to	6
in the remix	6
of the site	6
the library of	6
and i am	6
the remix page	6
this site is	6
would also be	6
would be a	6
it is a	6
for making this	6
to navigate and	6
i found it	6
forward to the	5
much for this	5
of the samples	5
is a really	5
this is awesome	5
i would use	5
thanks for this	5
will continue to	5
this is fantastic	5
i did not	5
to see it	5
i would have	5
i have no	5
it might be	5
and i think	5
the drum machine	5
the length of	5
to play with	5
the site was	5
to listen to	5
sure if i	5
but i think	5
great to have	5
able to use	5
great way to	5
but it was	5
it would also	5
get to the	5
i have a	5
was a little	5
to search for	5
you want to	5
have access to	5
the record button	5
it was not	5
an incredible resource	5
very difficult to	5
i think the	5
bb king interview	5
this is just	5
of the sample	5
is a way	5
the user interface	5
and i hope	5
i really enjoyed	5
hard to use	5
on the website	5
the interface is	5
love this idea	5
it easy to	5
it was a	5
is it possible	5
i wanted to	5
to use it	5
more than one	5
the explore tab	5
it possible to	5
is a very	5
forward to exploring	5
of the website	5
seem to work	5
easy to navigate	5
to the loc	5
difficult to navigate	5
i think there	5
the step sequencer	5
all of the	5
a great project	5
on my iphone	5
samples from different	5
want to use	5
samples into the	4
what you can	4
in a daw	4
be great if	4
a great way	4
to do that	4
a variety of	4
to see a	4
i got a	4
to explore the	4
and easy to	4
excited to see	4
to have more	4
but it would	4
needs to be	4
the beat maker	4
is super cool	4
a really cool	4
be a great	4
to get the	4
be a way	4
this project and	4
an amazing project	4
a link to	4
love love love	4
a great tool	4
it easier to	4
to the remix	4
the website is	4
all the samples	4
also be nice	4
excited for the	4
i think i	4
to make the	4
where you can	4
what i was	4
make it easier	4
this will be	4
and this is	4
more user friendly	4
listen to the	4
could be a	4
not sure if	4
would be helpful	4
from the same	4
use samples from	4
for a while	4
able to combine	4
would have been	4
the play in	4
it is possible	4
the site and	4
to explore and	4
i will continue	4
the play button	4
there should be	4
very excited to	4
an easy way	4
on the site	4
and a great	4
thanks for making	4
is very difficult	4
i would be	4
could use some	4
you for putting	4
spend more time	4
this is super	4
for a long	4
the drum machines	4
an option to	4
to use a	4
to play the	4
you for the	4
that would be	4
to use samples	4
simple to use	4
if it is	4
i feel like	4
a search bar	4
to play around	4
if you want	4
if there were	4
it difficult to	4
a bit more	4
