City,State,Date_started,Date_ended,Size,Lat,Long,Local_coverage_link,Notes
Anchorage,AK,,,major,61.220018,-149.855702,https://www.adn.com/alaska-news/anchorage/2020/05/30/as-unrest-sweeps-through-us-anchorage-rally-organizers-emphasize-the-power-of-working-together/,
Fairbanks,AK,,,minor,67.094545,-149.336012,http://www.newsminer.com/alerts/hundreds-gather-in-fairbanks-to-protest-peacefully-in-wake-of-george-floyds-death/article_0081fb48-a2c9-11ea-93c4-6bdd83855c28.html,
Juneau,AK,,,minor,58.373561,-134.523946,https://www.juneauempire.com/news/peaceful-vigil-held-for-slain-minnesota-man/,
Kotzebue,AK,,,,66.865256,-161.780844,http://kotz.org/2020/06/03/demonstrators-march-in-kotzebue-in-solidarity-with-global-police-brutality-protests/,tiny
Sitka,AK,,,,57.080818,-135.318348,http://sitkasentinel.com/7/2012-05-10-22-08-10/local-news/16675-sitkans-speak-for-respect-at-silent-vigil,
Auburn,AL,,,minor,32.547542,-85.468222,https://www.oanow.com/news/local/watch-now-auburn-community-comes-together-for-peaceful-protest/article_99875f8e-e3e0-5ee8-91fa-5a08c3f66377.html,
Birmingham,Al,,,major,33.456412,-86.801904,al.com/news/2020/06/watch-live-birmingham-officials-discuss-night-of-protests-riots.html,
Decatur,AL,,,minor,34.608016,-87.011052,https://www.decaturdaily.com/news/morgan_county/decatur/hundreds-gather-in-peaceful-protest-in-decatur/article_050aefa4-a979-510b-93d3-505332b41363.html,
Florence,AL,,,minor,34.82298,-87.661652,https://www.timesdaily.com/news/rally-supporting-george-floyd-held-in-florence-today/article_e9e577b1-5ff5-5918-9dce-dfbc027a3b97.html,
Gadsden,AL,,,minor,34.049367,-85.934285,https://www.gadsdentimes.com/news/20200531/marching-because-justice-matters,
Homewood,AL,,,,33.471773,-86.800823,https://wbhm.org/feature/2020/protests-spread-to-birminghams-majority-white-suburbs/,
Hoover,AL,,,minor,33.405387,-86.811378,https://www.al.com/news/2020/06/protest-in-hoover-arrests-confrontations-continue.html,
Huntsville,AL,,,,34.718428,-86.556439,https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html,
Mobile,AL,,,,30.701142,-88.103184,https://www.al.com/news/2020/06/police-shoot-pepper-balls-at-mobile-activists-as-peaceful-protest-turns-violent.html,
Montgomery,AL,,,,32.356988,-86.257817,https://www.montgomeryadvertiser.com/story/news/2020/05/30/montgomery-protesters-decry-george-floyds-murder-steven-reed-lynching-alabama-capitol/5293099002/,
Mountain Brook,AL,,,,33.488142,-86.734834,https://www.al.com/news/2020/06/hundreds-attend-mountain-brook-protest-rally-for-george-floyd.html,
Opelika,AL,,,minor,32.694763,-85.395626,https://www.wsfa.com/2020/05/30/crowd-gathers-opelika-protest-death-george-floyd/,
Tuscaloosa,AL,,,minor,33.170238,-87.616169,https://www.wbrc.com/2020/05/31/hundreds-gather-prayer-peaceful-protest-tuscaloosa/,
Bentonville,AR,,,minor,36.347107,-94.223419,https://www.nwaonline.com/news/2020/jun/02/rally-gets-violent-bentonville-tear-gas-deployed/,
Cabot,AR,,,,34.97453,-92.01653,https://www.fox16.com/news/local-news/peaceful-protest-in-happening-in-cabot/,
Conway,AR,,,minor,35.065889,-92.362875,https://www.thecabin.net/news/a-tale-of-two-protests/article_74003250-93fd-5360-bebe-1e5985c681a2.html,
Fayetteville,AR,,,major,35.974602,-94.190997,https://www.5newsonline.com/article/news/they-join-hundreds-of-protestors-around-the-country-who-are-protesting-about-george-floyds-death/527-93cf67ff-a36c-42e6-8b6c-73a026db6b2e,small
Fort Smith,AR,,,minor,35.3859,-94.3985,https://www.swtimes.com/news/20200531/scores-of-fort-smith-demonstrators-protest-george-floyd-death,
Jonesboro,AR,,,minor,35.835847,-90.623071,https://www.kait8.com/2020/06/01/traffic-alert-south-main-street-closed-rally/,
Little Rock,AR,,,minor,34.746905,-92.280049,https://www.arkansasonline.com/news/2020/jun/01/protests-return-to-capitol-20200601/?news-arkansas,
Harrison,AR,,,,36.295086,-93.092861,https://www.ky3.com/content/news/Peaceful-protest-held-on-Harrison-square-in-Arkansas-571034561.html,small
