noun	frequency
samples	171
sounds	158
sample	119
tool	110
way	109
music	108
site	100
sound	76
idea	74
work	73
page	62
time	58
project	57
beat	54
thanks	53
remix	50
clips	49
interface	48
people	48
resource	47
search	47
bit	46
website	43
files	33
button	32
drum	31
collection	30
library	30
something	30
lot	29
source	29
beats	28
user	28
feature	27
browser	26
sequencer	26
thing	26
file	25
function	25
use	25
fun	24
things	24
sampling	23
screen	23
audio	22
material	22
recordings	22
tools	22
context	21
experience	21
mouse	21
tracks	21
view	21
history	20
sources	20
concept	19
content	19
option	19
cursor	18
part	18
feedback	17
producer	17
software	17
access	16
clip	16
collections	16
grid	16
interview	16
point	16
machine	15
users	15
browsing	14
buttons	14
example	14
hop	14
play	14
recording	14
section	14
someone	14
tab	14
color	13
daw	13
everything	13
explore	13
hip	13
issue	13
production	13
stuff	13
task	13
video	13
app	12
bottom	12
browse	12
drums	12
future	12
information	12
inspiration	12
list	12
packs	12
students	12
word	12
anything	11
bar	11
length	11
phone	11
potential	11
record	11
resources	11
snippets	11
text	11
window	11
ability	10
everyone	10
job	10
one	10
options	10
others	10
producers	10
selection	10
sense	10
step	10
study	10
functionality	9
navigation	9
pattern	9
today	9
type	9
addition	8
art	8
artists	8
citizen	8
copyright	8
design	8
effort	8
interest	8
lots	8
machines	8
maker	8
mix	8
musicians	8
organization	8
school	8
side	8
variety	8
world	8
years	8
categories	7
creation	7
dj	7
format	7
internet	7
interviews	7
iphone	7
items	7
kick	7
kind	7
link	7
luck	7
mobile	7
pages	7
patterns	7
start	7
track	7
while	7
application	6
click	6
colors	6
control	6
dope	6
download	6
info	6
initiative	6
instrument	6
laptop	6
launch	6
layout	6
loc	6
love	6
materials	6
metadata	6
mind	6
mixer	6
mode	6
musician	6
piece	6
platform	6
playback	6
problem	6
top	6
types	6
year	6
arrow	5
artist	5
audience	5
box	5
computer	5
controls	5
default	5
demo	5
desktop	5
drag	5
end	5
error	5
filter	5
guide	5
ideas	5
input	5
instance	5
instructions	5
instruments	5
kids	5
making	5
mp3	5
parts	5
person	5
pitch	5
player	5
product	5
quality	5
second	5
seconds	5
sequence	5
service	5
shit	5
slices	5
snippet	5
song	5
space	5
swing	5
system	5
tasks	5
teacher	5
treasure	5
tutorial	5
volume	5
amount	4
anyone	4
aspect	4
bits	4
bug	4
congratulations	4
data	4
date	4
day	4
development	4
email	4
excerpt	4
exploration	4
fan	4
filtering	4
filters	4
genre	4
government	4
help	4
hobbyist	4
images	4
learning	4
level	4
libraries	4
life	4
loops	4
map	4
media	4
name	4
notes	4
process	4
program	4
public	4
remixes	4
right	4
royalty	4
sort	4
spectrum	4
style	4
tags	4
test	4
times	4
title	4
visualization	4
ways	4
%	3
approach	3
archives	3
array	3
attribution	3
audition	3
bass	3
beginning	3
beta	3
boxes	3
buggy	3
celebrity	3
chance	3
collage	3
connection	3
creations	3
creatives	3
culture	3
database	3
device	3
domain	3
doubt	3
dragging	3
dropdown	3
educator	3
examples	3
execution	3
exercise	3
features	3
field	3
folders	3
form	3
friends	3
functions	3
goal	3
hand	3
hardware	3
head	3
home	3
icons	3
implementation	3
improvement	3
issues	3
item	3
librarian	3
limit	3
look	3
loop	3
man	3
middle	3
mixes	3
names	3
order	3
pack	3
performance	3
pieces	3
place	3
possibilities	3
preview	3
previews	3
professor	3
projects	3
question	3
questions	3
range	3
remixing	3
result	3
results	3
samplers	3
setting	3
settings	3
setup	3
size	3
staff	3
steps	3
survey	3
tad	3
teachers	3
tech	3
technology	3
terms	3
ton	3
trigger	3
trove	3
understanding	3
usage	3
version	3
wall	3
waveform	3
web	3
workflow	3
80s	2
90s	2
a	2
accents	2
action	2
age	2
ages	2
algorithm	2
analysis	2
appreciation	2
apps	2
archive	2
area	2
areas	2
article	2
attention	2
audacity	2
awareness	2
band	2
bars	2
bat	2
beatmaking	2
bites	2
bunch	2
c	2
case	2
category	2
cellphone	2
challenge	2
change	2
changer	2
cheers	2
children	2
chops	2
class	2
classroom	2
cloud	2
college	2
column	2
combining	2
community	2
complaint	2
congrats	2
crash	2
crate	2
creator	2
creators	2
crowd	2
cues	2
curve	2
d	2
delight	2
demos	2
description	2
developer	2
devices	2
directions	2
discovery	2
djs	2
drop	2
duration	2
ear	2
editor	2
elements	2
emphasis	2
engine	2
era	2
excerpts	2
eye	2
eyes	2
feat	2
feeling	2
finder	2
finger	2
fingertips	2
flow	2
focus	2
frustration	2
game	2
glance	2
groove	2
group	2
groups	2
guys	2
hiphop	2
hours	2
husband	2
integration	2
intensity	2
ipad	2
key	2
keys	2
keyword	2
keywords	2
lack	2
laws	2
levels	2
line	2
links	2
listening	2
loading	2
loads	2
logo	2
matters	2
melody	2
menu	2
method	2
minute	2
moment	2
morning	2
movement	2
noise	2
none	2
nothing	2
numbers	2
opinion	2
originals	2
origins	2
output	2
overview	2
past	2
period	2
perspective	2
piano	2
picture	2
plenty	2
points	2
portion	2
possibility	2
power	2
precedent	2
principles	2
problems	2
productions	2
programs	2
progress	2
purposes	2
radio	2
randomness	2
rate	2
reason	2
release	2
remixer	2
researchers	2
response	2
rest	2
rhythms	2
room	2
searching	2
segment	2
segments	2
selections	2
sequences	2
set	2
sets	2
shape	2
share	2
shuffle	2
sign	2
significance	2
solo	2
songs	2
soundboard	2
soundscapes	2
soundwaves	2
spaceship	2
speech	2
square	2
stages	2
starters	2
story	2
student	2
suggestion	2
suggestions	2
summer	2
talkboxes	2
testing	2
thank	2
theft	2
timeline	2
timing	2
tips	2
touch	2
tour	2
try	2
tutorials	2
undertaking	2
universe	2
usability	2
value	2
