adjective	noun	frequency
great	idea	16
good	work	14
great	work	13
great	project	10
cool	idea	9
great	resource	9
multiple	sources	9
great	tool	8
cool	project	7
different	sounds	7
easy	way	7
long	time	7
multiple	samples	7
amazing	resource	6
amazing	tool	6
hard	work	6
incredible	resource	6
little	bit	6
longer	samples	6
more	time	6
amazing	project	5
great	way	5
more	user	5
different	samples	4
different	sources	4
great	site	4
incredible	idea	4
more	sounds	4
multiple	sounds	4
new	sounds	4
short	clips	4
useful	tool	4
amazing	idea	3
coolest	things	3
easier	way	3
full	recording	3
full	recordings	3
full	sample	3
great	source	3
incredible	tool	3
more	drum	3
sound	samples	3
amazing	site	2
amazing	thank	2
amazing	thing	2
amazing	way	2
amazing	work	2
awesome	tool	2
cool	site	2
cool	tool	2
different	collections	2
different	sound	2
fantastic	idea	2
fantastic	project	2
fantastic	resource	2
fantastic	work	2
full	site	2
full	source	2
interesting	sounds	2
interesting	way	2
more	people	2
multiple	clips	2
nice	work	2
other	people	2
other	samples	2
other	sounds	2
other	way	2
own	music	2
own	work	2
sound	search	2
sounds	work	2
able	samples	1
amazing	resources	1
amazing	tools	1
available	button	1
awesome	idea	1
awesome	project	1
awesome	resource	1
awesome	thanks	1
awesome	way	1
awesome	work	1
best	thing	1
cool	bits	1
cool	clips	1
cool	interface	1
cool	sounds	1
cool	tools	1
coolest	thing	1
different	collection	1
different	source	1
fantastic	collection	1
fantastic	tool	1
fantastic	way	1
full	music	1
full	sound	1
full	thing	1
fun	beat	1
fun	interface	1
fun	way	1
good	idea	1
good	site	1
good	tool	1
good	way	1
good	website	1
great	music	1
great	sound	1
great	sounds	1
great	thank	1
great	thing	1
great	website	1
greater	collection	1
hard	time	1
incredible	project	1
incredible	source	1
incredible	work	1
interesting	idea	1
interesting	project	1
interesting	resource	1
interesting	resources	1
interesting	site	1
intuitive	tools	1
little	work	1
longer	clip	1
longer	clips	1
longer	music	1
more	collections	1
more	files	1
more	music	1
more	samples	1
multiple	times	1
new	beat	1
new	ideas	1
new	music	1
new	samples	1
new	tool	1
new	tools	1
new	users	1
new	way	1
nice	beat	1
nice	project	1
nice	source	1
nice	thanks	1
other	clips	1
other	music	1
other	things	1
other	tools	1
own	beat	1
own	beats	1
own	clip	1
own	sample	1
own	sounds	1
own	works	1
short	bits	1
short	samples	1
sound	clip	1
sound	files	1
sound	recordings	1
sound	sample	1
sound	sources	1
sounds	clips	1
sounds	tool	1
sure	lots	1
useful	project	1
