bigram	frequency
citizen dj	26
really cool	18
looking forward	16
great idea	16
hip hop	14
good work	14
great work	13
drum machine	11
look forward	11
great project	10
will definitely	9
well done	9
remix tool	9
cool idea	9
great resource	9
explore page	9
super cool	9
multiple sources	9
bb king	9
search function	8
sample packs	8
great tool	8
pii redacted	8
king interview	8
user friendly	8
drum machines	8
really like	8
step sequencer	7
different sounds	7
beat maker	7
wav files	7
cool project	7
explore section	7
long time	7
make music	7
multiple samples	7
user interface	7
easy way	7
little bit	6
seems like	6
hard work	6
go back	6
looks like	6
amazing tool	6
remix page	6
search bar	6
incredible resource	6
feel like	6
one sample	6
one thing	6
longer samples	6
really enjoyed	6
amazing resource	6
sample library	5
beat pattern	5
use samples	5
amazing project	5
explore tab	5
music making	5
music producer	5
love love	5
music production	5
will continue	5
really fun	5
beat making	5
record button	5
sliced samples	5
play button	5
great way	5
definitely use	5
great site	4
new sounds	4
source material	4
without clicking	4
different tracks	4
browsing page	4
combine different	4
different sources	4
feels like	4
play around	4
ui ux	4
sounds available	4
browse view	4
truly amazing	4
even know	4
enjoyed using	4
finding samples	4
sound like	4
good job	4
good luck	4
please keep	4
just one	4
audio file	4
every time	4
drum sounds	4
incredible idea	4
multiple sounds	4
useful tool	4
sound browser	4
short clips	4
different samples	4
wav file	3
great fun	3
fantastic resource	3
different colors	3
wonderful resource	3
individual sounds	3
remix tab	3
certain sounds	3
sounds like	3
little confusing	3
individual samples	3
educational tool	3
full recordings	3
really enjoy	3
loc website	3
well executed	3
original recording	3
search feature	3
free music	3
easily find	3
producers like	3
full recording	3
went back	3
mouse button	3
open source	3
will try	3
mobile safari	3
high school	3
makes sense	3
great job	3
combine multiple	3
something like	3
valuable resource	3
download samples	3
cool site	3
maybe even	3
great source	3
user experience	3
creative tool	3
bit overwhelming	3
public domain	3
mobile experience	3
treasure trove	3
cool tool	3
cursor around	3
search option	3
sounds together	3
bit clunky	3
easier way	3
one sound	3
really love	3
beat patterns	3
spoken word	3
definitely using	3
sound samples	3
explore screen	3
full sample	3
year old	3
free sounds	3
search tool	3
just starting	3
old recordings	3
will use	3
context button	3
wonderful idea	3
just click	3
wider audience	3
cool concept	3
pretty easy	3
royalty free	3
coming back	3
everyone involved	3
incredible tool	3
just need	3
coolest things	3
amazing idea	3
remix section	3
brian foo	3
bit confusing	3
many thanks	3
help people	2
combine samples	2
internet connection	2
always looking	2
bring back	2
create music	2
samples available	2
big fan	2
united states	2
without affecting	2
first task	2
making tool	2
just getting	2
great feature	2
interesting sounds	2
different set	2
specific sound	2
word search	2
multiple tracks	2
copyright laws	2
find multiple	2
search functionality	2
idea though	2
sound sample	2
super helpful	2
additional samples	2
find things	2
different points	2
dj today	2
explore mode	2
remix app	2
new wave	2
browse download	2
cool though	2
really looking	2
really really	2
people looking	2
whole new	2
audio clips	2
tremendously exciting	2
remix function	2
absolutely amazing	2
make sure	2
got stuck	2
vocal samples	2
