noun	verb	frequency
i	''m	79
it	''s	72
i	think	65
i	was	55
it	was	51
it	is	48
i	am	45
i	love	35
i	did	32
you	have	25
i	do	21
i	have	21
i	''ve	20
i	found	20
i	like	19
i	had	18
site	is	16
i	know	14
i	feel	12
you	are	12
i	want	10
i	look	9
you	''re	9
interface	is	8
they	were	8
i	need	7
i	wanted	7
it	does	7
it	feels	7
website	is	7
i	downloaded	6
i	thought	6
it	seemed	6
site	was	6
tool	is	6
you	click	6
you	want	6
clips	are	5
files	are	5
i	m	5
i	make	5
i	’m	5
music	is	5
samples	is	5
they	''re	5
you	''ve	5
you	need	5
i	get	4
i	got	4
i	loved	4
i	made	4
i	went	4
it	did	4
it	got	4
music	making	4
sample	is	4
samples	are	4
sound	like	4
sounds	are	4
sounds	is	4
you	do	4
your	work	4
beat	making	3
collection	was	3
i	clicked	3
i	created	3
i	figured	3
i	liked	3
i	work	3
idea	is	3
it	makes	3
it	seems	3
my	work	3
page	was	3
samples	were	3
sounds	like	3
they	do	3
tool	was	3
tools	were	3
we	are	3
you	created	3
you	find	3
you	were	3
button	did	2
button	do	2
collections	is	2
files	had	2
he	knew	2
he	wanted	2
i	browse	2
i	download	2
i	hear	2
i	heard	2
i	saw	2
i	see	2
i	’ve	2
it	goes	2
it	had	2
it	has	2
it	looks	2
it	needs	2
it	plays	2
it	were	2
it	work	2
it	worked	2
me	is	2
myself	using	2
myself	wanting	2
page	is	2
people	looking	2
project	is	2
resource	is	2
samples	was	2
sound	is	2
sound	was	2
sounds	using	2
sounds	were	2
sounds	work	2
they	''ve	2
they	are	2
tools	like	2
you	get	2
you	go	2
you	hear	2
you	select	2
you	’re	2
beat	had	1
beats	is	1
beats	using	1
bit	was	1
button	are	1
button	does	1
button	made	1
button	seems	1
button	was	1
buttons	make	1
buttons	were	1
clips	do	1
clips	is	1
clips	love	1
clips	play	1
clips	were	1
collections	looks	1
collections	was	1
drums	work	1
file	seems	1
files	created	1
files	downloaded	1
files	seem	1
files	were	1
he	''d	1
he	''s	1
i	''d	1
i	click	1
i	felt	1
i	find	1
i	go	1
i	knew	1
i	needed	1
i	seemed	1
i	selected	1
i	use	1
idea	was	1
interface	gets	1
interface	makes	1
interface	was	1
it	be	1
it	feel	1
it	felt	1
it	gets	1
it	play	1
it	played	1
it	working	1
its	like	1
itself	is	1
me	being	1
me	do	1
me	feel	1
me	having	1
me	know	1
me	thinking	1
me	was	1
music	felt	1
music	needs	1
my	uses	1
page	are	1
page	does	1
page	makes	1
page	seems	1
pages	feel	1
people	browse	1
people	do	1
people	know	1
people	like	1
people	look	1
project	has	1
project	having	1
project	loved	1
project	thank	1
project	was	1
remix	is	1
remix	play	1
remix	was	1
resource	like	1
resource	needs	1
resource	thank	1
resources	be	1
resources	work	1
sample	explore	1
sample	has	1
sample	played	1
samples	being	1
samples	create	1
samples	did	1
samples	looks	1
samples	selected	1
search	is	1
she	does	1
site	are	1
site	did	1
site	does	1
site	has	1
site	looks	1
site	seems	1
sound	does	1
sound	play	1
sounds	did	1
sounds	felt	1
sounds	make	1
sounds	seem	1
sounds	selected	1
sounds	was	1
source	did	1
sources	is	1
thanks	thank	1
them	have	1
them	make	1
themselves	were	1
they	hear	1
they	like	1
they	loved	1
they	make	1
they	need	1
they	seemed	1
they	use	1
they	want	1
thing	thank	1
thing	was	1
time	exploring	1
time	looking	1
time	using	1
tool	did	1
tool	makes	1
tool	worked	1
tools	was	1
us	select	1
user	clicks	1
user	download	1
user	having	1
user	make	1
users	are	1
users	thinking	1
we	''re	1
we	have	1
we	need	1
we	use	1
we	want	1
we	’re	1
work	downloading	1
you	''d	1
you	be	1
you	explore	1
you	found	1
you	like	1
you	liked	1
you	made	1
you	navigate	1
you	played	1
you	thank	1
you	was	1
