unigram	frequency
use	180
sounds	177
samples	173
great	154
like	143
sample	128
cool	120
thank	115
way	112
tool	111
sound	111
music	110
just	109
really	102
work	100
site	99
love	93
will	87
one	84
also	83
amazing	75
idea	75
make	75
think	75
find	74
able	74
fun	69
remix	68
beat	66
search	65
using	62
explore	62
page	61
see	61
time	59
project	58
thanks	58
play	58
much	57
download	56
different	54
easy	53
nice	53
good	52
interface	50
clips	49
resource	48
looking	48
bit	48
get	47
people	46
audio	44
website	44
maybe	43
well	42
making	42
even	41
dj	39
library	39
know	38
found	37
sure	36
little	35
awesome	35
forward	34
click	33
files	33
button	33
available	33
drum	32
useful	32
browsing	32
though	31
around	31
figure	31
back	31
interesting	31
create	31
better	30
collection	30
source	30
something	30
need	30
lot	29
beats	29
user	29
feature	29
navigate	28
browser	28
hear	28
possible	28
intuitive	28
want	28
browse	28
citizen	28
multiple	28
together	28
sequencer	27
sampling	27
incredible	27
short	27
new	27
full	27
fantastic	27
hard	27
first	27
file	26
look	26
function	26
longer	26
definitely	26
thing	26
difficult	25
things	24
understand	24
pretty	23
recordings	23
right	23
seem	23
screen	23
hope	23
mobile	23
view	23
etc	23
context	23
overall	23
hip	22
material	22
makes	22
easier	22
already	22
recording	22
excited	22
hop	22
tools	22
super	21
experience	21
exploring	21
content	21
access	21
drag	21
used	21
help	21
keep	21
mouse	21
add	21
tracks	21
made	20
sources	20
might	20
record	20
go	20
select	20
many	20
ui	20
helpful	20
feedback	20
history	20
redacted	20
confusing	20
daw	20
loc	20
producer	20
clip	19
feel	19
without	19
easily	19
option	19
cursor	19
whole	19
working	19
wonderful	19
concept	19
software	18
part	18
seems	18
free	18
interview	18
wav	18
creating	18
specific	18
finding	17
creative	17
old	17
king	17
point	17
start	17
clear	16
interested	16
downloaded	16
combine	16
huge	16
looks	16
grid	16
perhaps	16
change	16
clicking	16
wait	16
going	16
tab	15
collections	15
please	15
let	15
still	15
done	15
may	15
users	15
put	15
certain	15
machine	15
mix	14
bottom	14
buttons	14
try	14
wanted	14
section	14
second	14
dragging	14
simple	14
instead	14
example	14
production	13
created	13
task	13
seemed	13
stuff	13
someone	13
wish	13
loved	13
issue	13
kind	13
excellent	13
listen	13
actually	13
future	13
share	13
individual	13
color	13
video	13
take	13
friendly	13
within	13
allow	12
drums	12
playing	12
searching	12
information	12
students	12
open	12
list	12
inspiration	12
move	12
iphone	12
far	12
word	12
everything	12
based	12
rather	12
give	12
long	12
potential	12
got	12
hold	12
never	12
packs	12
visual	12
needs	12
load	12
control	12
getting	12
app	12
feels	11
continue	11
probably	11
enjoyed	11
snippets	11
immediately	11
usable	11
text	11
however	11
downloading	11
length	11
thought	11
step	11
anything	11
remixing	11
bar	11
resources	11
happy	11
phone	11
archive	11
type	11
filter	11
window	11
scroll	10
especially	10
producers	10
study	10
ability	10
sense	10
selection	10
trying	10
putting	10
everyone	10
others	10
clunky	10
end	10
copyright	10
scrolling	10
options	10
best	10
provide	10
high	10
selected	10
pattern	10
liked	10
absolutely	10
choose	10
job	10
today	10
big	9
missed	9
variety	9
maker	9
functionality	9
exciting	9
navigation	9
small	9
preview	9
enough	9
pre	9
stop	9
main	9
bb	9
early	9
congress	9
either	9
weird	9
another	9
save	9
dope	9
pii	9
us	9
believe	9
design	9
sort	9
quickly	9
machines	9
otherwise	9
mp	9
artists	9
sliced	8
random	8
addition	8
enjoy	8
track	8
online	8
say	8
truly	8
fast	8
learn	8
tell	8
side	8
recommend	8
musicians	8
years	8
art	8
metadata	8
musician	8
safari	8
original	8
bring	8
brilliant	8
entire	8
yet	8
chop	8
lots	8
now	8
quite	8
shared	8
school	8
started	8
ux	8
organization	8
interest	8
effort	8
next	8
extremely	8
least	7
tried	7
interviews	7
came	7
accessible	7
launch	7
went	7
likely	7
link	7
fine	7
pages	7
come	7
later	7
sampler	7
piece	7
imagine	7
world	7
top	7
live	7
creation	7
build	7
musical	7
obvious	7
powerful	7
luck	7
current	7
said	7
mixing	7
hit	7
across	7
valuable	7
built	7
every	7
seeing	7
mind	7
always	7
public	7
played	7
felt	7
patterns	7
away	7
given	7
categories	7
digital	7
kinda	7
kick	7
neat	7
internet	7
format	7
items	7
initiative	6
application	6
meant	6
set	6
player	6
instrument	6
incredibly	6
mixer	6
moving	6
laptop	6
professional	6
problem	6
mode	6
starting	6
impossible	6
brian	6
works	6
spend	6
visually	6
sharing	6
worked	6
combining	6
artist	6
chopped	6
wonder	6
sometimes	6
colors	6
year	6
reach	6
sequence	6
almost	6
directly	6
learning	6
stopped	6
loops	6
unique	6
times	6
actual	6
fully	6
beyond	6
check	6
familiar	6
behind	6
adding	6
outside	6
non	6
layout	6
platform	6
info	6
materials	6
playback	6
media	6
listening	6
types	6
test	6
show	6
space	6
edit	6
historical	6
snippet	5
perfect	5
trigger	5
coming	5
inspiring	5
basic	5
adjust	5
previewing	5
tasks	5
input	5
song	5
editing	5
thinking	5
saw	5
took	5
less	5
box	5
instance	5
tutorial	5
mpc	5
parts	5
separate	5
various	5
important	5
default	5
teacher	5
taken	5
must	5
near	5
properly	5
computer	5
arrow	5
comes	5
loading	5
person	5
program	5
service	5
produce	5
genre	5
beta	5
since	5
two	5
large	5
demo	5
inspire	5
favorite	5
ideas	5
worth	5
filtering	5
audience	5
slices	5
quick	5
limited	5
kids	5
instruments	5
real	5
vocal	5
ever	5
treasure	5
changing	5
guide	5
shit	5
automatically	5
whether	5
ok	5
particular	5
desktop	5
error	5
appreciate	5
stuck	5
confused	5
provided	5
pull	5
lost	5
suggest	5
hobbyist	5
system	5
ipad	5
understanding	5
unintuitive	5
popular	5
product	5
impressed	5
plays	5
shows	5
highly	5
volume	5
instructions	5
pitch	5
seconds	5
controls	5
slightly	5
librarian	5
quality	5
left	5
similar	5
pick	4
glad	4
style	4
tiny	4
several	4
wide	4
finally	4
personally	4
remixes	4
somehow	4
coded	4
functional	4
organized	4
incorporate	4
excerpt	4
completely	4
read	4
beautiful	4
involved	4
return	4
title	4
clicked	4
engaging	4
connect	4
tags	4
goes	4
congratulations	4
opposed	4
swing	4
life	4
key	4
widely	4
although	4
filters	4
whatever	4
development	4
curated	4
spectrum	4
ai	4
level	4
middle	4
inspirational	4
bits	4
wider	4
kept	4
three	4
improve	4
youtube	4
bet	4
exploration	4
workflow	4
mostly	4
per	4
lack	4
tweak	4
anyway	4
nearly	4
couldnt	4
ableton	4
currently	4
scrub	4
complete	4
didn	4
amount	4
email	4
lose	4
place	4
curious	4
functions	4
anywhere	4
audition	4
anyone	4
aspect	4
data	4
zoom	4
name	4
fan	4
map	4
navigating	4
fascinating	4
process	4
unable	4
figured	4
archives	4
raw	4
libraries	4
classic	4
extra	4
strange	4
wondering	4
modern	4
im	4
notes	4
images	4
takes	4
general	4
soon	4
presented	4
ways	4
government	4
expand	4
single	4
coolest	4
realize	4
utilize	4
form	4
setting	4
last	4
bug	4
minor	4
