Id,Title,URL,Source,Creator,Year,Alt URL,Filename
,Cystoseira granulata,https://digitalcollections.nypl.org/items/510d47d9-4b3f-a3d9-e040-e00a18064a99,nypl,Anna Atkins,1843,,
,30. Plafond du Tombeau D'amenemhat (n° 82),https://digitalcollections.nypl.org/items/510d47d9-68a9-a3d9-e040-e00a18064a99,nypl,Gustave Jéquier,1911,,
,Arabesques : mosaïques murales (XIIe. & XIVe. siècles),https://digitalcollections.nypl.org/items/510d47d9-6655-a3d9-e040-e00a18064a99,nypl,Prisse d'Avennes,1877,,
,Mosaik aus der Moschee des Galaon el Alfi auf der Citadelle zu Kairo,https://digitalcollections.nypl.org/items/510d47d9-6923-a3d9-e040-e00a18064a99,nypl,Friedrich Maximilian Hessemer,1842,,
,Patterns of Egyptian ceilings.,https://digitalcollections.nypl.org/items/510d47e2-6f7d-a3d9-e040-e00a18064a99,nypl,John Gardner Wilkinson,1837,,
,[Sheet of lace designs],https://digitalcollections.nypl.org/items/e351cf90-81c1-0134-3ed8-00505686a51c,nypl,Unknown,1595 - 1597,,
,Indian embroidery on black cloth.,https://digitalcollections.nypl.org/items/510d47e3-9039-a3d9-e040-e00a18064a99,nypl,Matthew Digby Wyatt,1852,,
,The queen.,https://digitalcollections.nypl.org/items/510d47dd-e90e-a3d9-e040-e00a18064a99,nypl,Robert John Thornton,1807,,
,Huge horizontal mountains',https://digitalcollections.nypl.org/items/510d47e1-c9c4-a3d9-e040-e00a18064a99,nypl,Gai Wang,1753,,
,Panovazza Court. Floor plans,https://digitalcollections.nypl.org/items/510d47da-d9af-a3d9-e040-e00a18064a99,nypl,G. C. Hesselgren Publishing Co.,1909,,
,Moonlight Bay,https://digitalcollections.nypl.org/items/510d47e3-14f6-a3d9-e040-e00a18064a99,nypl,J. H. Remick,1912,,
,Table with drawing of orbits of planets and sun.,https://digitalcollections.nypl.org/items/510d47da-e677-a3d9-e040-e00a18064a99,nypl,Unknown,1400 - 1499,,
,"Shushan emek uyamah, kerovah for shaharit of Yom Kippur.",https://digitalcollections.nypl.org/items/510d47da-8c80-a3d9-e040-e00a18064a99,nypl,David bar Pesah,1301 - 1400,,
,Population distribution map,https://digitalcollections.nypl.org/items/b9f2b588-8fb6-d39b-e040-e00a180679bc,nypl,New York City Planning Commission,1945,,
,"Jane Porter to Drury Lane Theatre Committee, autograph letter (draft)",https://digitalcollections.nypl.org/items/d5004270-d06b-0139-3334-0242ac110003,nypl,Jane Porter,1816,,
,King Luckieboy receives General Janus,https://digitalcollections.nypl.org/items/6b4ee8ad-97ed-8ca4-e040-e00a18065179,nypl,Walter Crane,1845 - 1915,,
,"""'Little niece,' said Kühleborn, 'forget not that I am here with thee as a guide.'""",https://digitalcollections.nypl.org/items/6c2b4830-39a0-8bd3-e040-e00a18064268,nypl,Arthur Rackham,1912,,
,"Title Page The Pied Piper of Hamelin, A Child's Story.",https://digitalcollections.nypl.org/items/6d40fb4e-9c13-3ae6-e040-e00a18061242,nypl,Hope Dunlap,1910,,
,The Harpies,https://digitalcollections.nypl.org/items/510d47e4-0c76-a3d9-e040-e00a18064a99,nypl,Bartolomeo Pinelli,1878,,
,Abydos: Temple Ramses III,https://digitalcollections.nypl.org/items/510d47e4-54dc-a3d9-e040-e00a18064a99,nypl,Cairo Postcard Trust,1907 - 1930,,
,Detail of tabby wall. Ruins of supposed Spanish mission. St. Marys Georgia,https://digitalcollections.nypl.org/items/e24d2190-bad5-0132-a5c4-58d385a7bbd0,nypl,Walker Evans,1936,,
,Alioto's,https://digitalcollections.nypl.org/items/b0d65bdd-774d-7d0a-e040-e00a18065084,nypl,Unknown,1956,,
,"Jesse, Arthur",https://digitalcollections.nypl.org/items/5448f7e0-7188-0136-d3ab-4798ffdc316c,nypl,Arthur Jesse,1886,,
,Westminster Abbey from the west entrance.,https://digitalcollections.nypl.org/items/510d47da-20a3-a3d9-e040-e00a18064a99,nypl,Benson J. Lossing,1777 - 1890,,
,"Subterranean Water Action - St. John's Cathedral, Endless Caverns, New Market,VA., Milwaukee Public Museum Group",https://digitalcollections.nypl.org/items/510d47da-548e-a3d9-e040-e00a18064a99,nypl,Detroit Publishing Company,1898 - 1931,,
,Branchages,https://digitalcollections.nypl.org/items/7c833542-004e-c644-e040-e00a18063fbc,nypl,Rodolphe Bresdin,1854 - 1884,,
,Geological map of north eastern Alabama with adjacent portions of Tennessee and Georgia,https://digitalcollections.nypl.org/items/3595bf70-e01b-0134-4f88-03fcb6f6c0cf,nypl,Eugene Allen Smith,1890,,
,Letter to Samuel Cooper,https://digitalcollections.nypl.org/items/43c1e910-1c84-0134-4ccd-00505686a51c,nypl,Samuel Adams,1779,,
,"Fan Kuai (Hankai), from the series A Set of Three Broken Doors (Haitatsu sanban)",https://digitalcollections.nypl.org/items/19f89df0-642b-0135-c258-1d2b916958ed,nypl,Yashima Gakutei,1827,,
,Battle of New Orleans.,https://digitalcollections.nypl.org/items/510d47db-bf6d-a3d9-e040-e00a18064a99,nypl,Julian Oliver Davidson,1885,,
,Interior work : structural framework.,https://digitalcollections.nypl.org/items/510d47dc-39c3-a3d9-e040-e00a18064a99,nypl,New York Public Library,1905,,
,Virginia,https://digitalcollections.nypl.org/items/510d47db-c348-a3d9-e040-e00a18064a99,nypl,Ralph Hall,1637,,
,Saqara [Saqqârah]: Grab 24. Decken Verzierungen ; Grab 15. Details  der Blendthür.,https://digitalcollections.nypl.org/items/510d47d9-57ff-a3d9-e040-e00a18064a99,nypl,Gustav Reubke,1849 - 1856,,
,Panel ornament with two lovers,https://digitalcollections.nypl.org/items/cb647b80-e148-0132-3985-58d385a7bbd0,nypl,Israhel van Meckenem,1401 - 1500,,
,"The prophet Lût (Lot) talks with the angel Jibrâ'îl, with the destroyed city of Sodom in the background, fol. 37v",https://digitalcollections.nypl.org/items/5e66b3e9-19a5-d471-e040-e00a180654d7,nypl,Abū Isḥāq Ibrāhīm ibn Manṣūr Nīsābūrī,1577,,
,Kamakara no Kengoro Kagemasa fighting Tori no umi Yosaburo Yasunori,https://digitalcollections.nypl.org/items/e7d81b10-22c9-0135-875a-7bd7facf7621,nypl,Hokusai Katsushika,1801 - 1825,,
,Emil Filla: Jitro.,https://digitalcollections.nypl.org/items/510d47e3-b8e9-a3d9-e040-e00a18064a99,nypl,Emil Filla,1911 - 1913,,
,Oldest makers in America [Back cover].,https://digitalcollections.nypl.org/items/510d47de-0055-a3d9-e040-e00a18064a99,nypl,Haynes Automobile Company,1903 - 1916,,
,"Panorama of the seat of war.  Birds eye view of Virginia, Maryland Delaware and the District of Columbia",https://digitalcollections.nypl.org/items/510d47d9-7dcd-a3d9-e040-e00a18064a99,nypl,John Bachmann,1861,,
,Korosmezo und Mikuliczyn.,https://digitalcollections.nypl.org/items/510d47df-8acd-a3d9-e040-e00a18064a99,nypl,Austro-Hungarian Monarchy. Militärgeographisches Institut,1914,,
,"Horae, fol. 136",https://digitalcollections.nypl.org/items/99a2ba10-e35e-0135-6976-6f541abdf41f,nypl,Unknown,1500,,
,"Ajâ'ib al-makhlûqât va gharâ'ib al-mawjûdât, f. 61v",https://digitalcollections.nypl.org/items/3ce8ca70-3f07-0138-cf9e-7db166cb8ada,nypl,Zakarīyā ibn Muḥammad Qazwīnī,1540 - 1545,,
,A shnirele perl: drama in 4 aḳṭen,https://digitalcollections.nypl.org/items/c4514d80-c21f-0133-0e95-00505686d14e,nypl,Yiddish Art Theatre Players,1925,,
,Front endpaper,https://digitalcollections.nypl.org/items/510d47dc-40d3-a3d9-e040-e00a18064a99,nypl,Jean Stroobants,1885,,
,"Kartiny iz Biblii i Apokalipsisa, raboty mastera Koreniai",https://digitalcollections.nypl.org/items/510d47de-0c73-a3d9-e040-e00a18064a99,nypl,Ekspeditsiia zagotovleniia gos. bumag,1881,,
,Characters and Caricaturas,https://digitalcollections.nypl.org/items/099c81b0-e8f3-0130-f869-58d385a7bbd0,nypl,William Hogarth,1743,,
,Masonic Publishing Co; Olympic Theatre,https://digitalcollections.nypl.org/items/2b2d1530-8ebf-0132-bb24-58d385a7b928,nypl,Unknown,1873,,
,Poseliane Voronezhskoi gubernii. Velikorossiiane.,https://digitalcollections.nypl.org/items/510d47e2-4ecc-a3d9-e040-e00a18064a99,nypl,Vasiliĭ Fëdorovich Timm,1851 - 1862,,
,F-6,https://digitalcollections.nypl.org/items/85627f27-1238-9fab-e040-e00a18061aa8,nypl,Unknown,2100 - 2000 B.C.,,
,When I'm looking at you,https://digitalcollections.nypl.org/items/510d47da-5218-a3d9-e040-e00a18064a99,nypl,"T.B. Harms & Francis, Day & Hunter",1918,,
,"Saggi delle pitture e ornamenti, che decorano le volte, o i soffitti delle tombe e delle case egiziane.",https://digitalcollections.nypl.org/items/510d47d9-477c-a3d9-e040-e00a18064a99,nypl,Giuseppe Angelelli,1832 - 1844,,
,Brokat.,https://digitalcollections.nypl.org/items/510d47e3-af77-a3d9-e040-e00a18064a99,nypl,F. Bruckmann,1912,,
,A sectional view of the New York Public Library,https://digitalcollections.nypl.org/items/510d47e0-d8bd-a3d9-e040-e00a18064a99,nypl,Scientific American,1911,,
,No. 94,https://digitalcollections.nypl.org/items/7c06aa40-4130-0138-5cdb-0792cb28f66b,nypl,Claude Lorrain,1777 - 1819,,
,Mangrove trees on the borders of the Mesurado lagoon,https://digitalcollections.nypl.org/items/510d47dc-95c6-a3d9-e040-e00a18064a99,nypl,Hutchinson & Co.,1906,,
,"Bordure d'un des vitraux, que Suger fit executer dans l'église de l'abbaye de St. Denis.",https://digitalcollections.nypl.org/items/510d47e3-4b75-a3d9-e040-e00a18064a99,nypl,Nicolas Xavier Willemin,1839,,
