Id,Title,URL,Source,Creator,Year,Alt URL,Filename
510d47d9-4b3f-a3d9-e040-e00a18064a99,Cystoseira granulata,https://digitalcollections.nypl.org/items/510d47d9-4b3f-a3d9-e040-e00a18064a99,nypl,Anna Atkins,1843,,nypl.510d47d9-4b3f-a3d9-e040-e00a18064a99.001.jpg
510d47d9-68a9-a3d9-e040-e00a18064a99,30. Plafond du Tombeau D'amenemhat (n° 82),https://digitalcollections.nypl.org/items/510d47d9-68a9-a3d9-e040-e00a18064a99,nypl,Gustave Jéquier,1911,,nypl.510d47d9-68a9-a3d9-e040-e00a18064a99.001.jpg
510d47d9-6655-a3d9-e040-e00a18064a99,Arabesques : mosaïques murales (XIIe. & XIVe. siècles),https://digitalcollections.nypl.org/items/510d47d9-6655-a3d9-e040-e00a18064a99,nypl,Prisse d'Avennes,1877,,nypl.510d47d9-6655-a3d9-e040-e00a18064a99.001.jpg
510d47d9-6923-a3d9-e040-e00a18064a99,Mosaik aus der Moschee des Galaon el Alfi auf der Citadelle zu Kairo,https://digitalcollections.nypl.org/items/510d47d9-6923-a3d9-e040-e00a18064a99,nypl,Friedrich Maximilian Hessemer,1842,,nypl.510d47d9-6923-a3d9-e040-e00a18064a99.001.jpg
510d47e2-6f7d-a3d9-e040-e00a18064a99,Patterns of Egyptian ceilings.,https://digitalcollections.nypl.org/items/510d47e2-6f7d-a3d9-e040-e00a18064a99,nypl,John Gardner Wilkinson,1837,,nypl.510d47e2-6f7d-a3d9-e040-e00a18064a99.001.jpg
e351cf90-81c1-0134-3ed8-00505686a51c,[Sheet of lace designs],https://digitalcollections.nypl.org/items/e351cf90-81c1-0134-3ed8-00505686a51c,nypl,Unknown,1595 - 1597,,nypl.e351cf90-81c1-0134-3ed8-00505686a51c.001.jpg
510d47e3-9039-a3d9-e040-e00a18064a99,Indian embroidery on black cloth.,https://digitalcollections.nypl.org/items/510d47e3-9039-a3d9-e040-e00a18064a99,nypl,Matthew Digby Wyatt,1852,,nypl.510d47e3-9039-a3d9-e040-e00a18064a99.001.jpg
510d47dd-e90e-a3d9-e040-e00a18064a99,The queen.,https://digitalcollections.nypl.org/items/510d47dd-e90e-a3d9-e040-e00a18064a99,nypl,Robert John Thornton,1807,,nypl.510d47dd-e90e-a3d9-e040-e00a18064a99.001.jpg
510d47e1-c9c4-a3d9-e040-e00a18064a99,Huge horizontal mountains',https://digitalcollections.nypl.org/items/510d47e1-c9c4-a3d9-e040-e00a18064a99,nypl,Gai Wang,1753,,nypl.510d47e1-c9c4-a3d9-e040-e00a18064a99.001.jpg
510d47da-d9af-a3d9-e040-e00a18064a99,Panovazza Court. Floor plans,https://digitalcollections.nypl.org/items/510d47da-d9af-a3d9-e040-e00a18064a99,nypl,G. C. Hesselgren Publishing Co.,1909,,nypl.510d47da-d9af-a3d9-e040-e00a18064a99.001.jpg
