id,originalRecordingTitle,originalEventTitle,contributors,date,subjects
20100312_bg_001sr_pl_ds_av,TASCAM DR00067 April Verch Band Song: William Gagnon - Public Domain/Traditional live at Dusty Strings. April Dancing.,"3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_004sr_pl_ds_av,"TASCAM DR00070 April Verch Band, April dancing, Song: (Called Johnny Wagoner in Cananda))Tennessee Wagoner - Public Domain/Traditional live footage at Dusty Strings","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_008sr_pl_ds_av,"TASCAM DR00074 April Verch Band, Song: Tadoussac & Lindbergh - Public Domain/Traditional Ottowa Valley, Canada, April dancing, live at Dusty Strings","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_012sr_pl_ds_av,"TASCAM DR00078 April Verch Band, Song: Medley- The Riverboat's Gone; April Verch original & Bumblebee (Public Domain/KY Traditional) live footage at Dusty Strings","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_001mv_pl_ds_av,Handycam 20100312203422 April Verch Band Song: William Gagnon - Public Domain/Traditional live at Dusty Strings. April Dancing.,"3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_004mv_pl_ds_av,"Handycam 20100312204952 April Verch Band, April dancing, Song: (Called Johnny Wagoner in Cananda))Tennessee Wagoner - Public Domain/Traditional live footage at Dusty Strings","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_008mv_pl_ds_av,"Handycam 20100312211225 April Verch Band, Song: Tadoussac & Lindbergh - Public Domain/Traditional Ottowa Valley, Canada, April dancing, live at Dusty Strings","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100312_bg_012mv_pl_ds_av,"Handycam 20100312220856 April Verch Band, Song: Medley- The Riverboat's Gone; April Verch original & Bumblebee (Public Domain/KY Traditional) live footage at Dusty Strings","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",,2010-03-12,
20100512_ca_001mv_pl_cda_bc,Handycam 20100512190903 Bonsoir Catin performing Seventy Three (public domain),"5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_002mv_pl_cda_bc,Handycam 20100512191536 Bonsoir Catin performing Longue Pointe (public domain),"5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_007mv_pl_cda_bc,"Handycam 20100512194117 Bonsoir Catin performing live @ Café Des Amis: Chicken Coupe, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_008mv_pl_cda_bc,"Handycam 20100512194627 Bonsoir Catin performing live @ Café Des Amis: Popcorn, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_010mv_pl_cda_bc,"Handycam 20100512195650 Bonsoir Catin performing live @ Café Des Amis: Mamma Rosan, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_012mv_pl_cda_bc,"Handycam 20100512200612 Bonsoir Catin performing live @ Café Des Amis: Moulin, traditional tune (public domain) all members singing","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
20100512_ca_013mv_pl_cda_bc,"Handycam 20100512201246 Bonsoir Catin performing live @ Café Des Amis: Creole Stomp, traditional tune (public domain)","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",,2010-05-12,
