id,cleanedRecordingTitle,originalRecordingTitle,contributors,cleanedEventTitle,originalEventTitle,date
20100312_bg_001sr_pl_ds_av,William Gagnon,TASCAM DR00067 April Verch Band Song: William Gagnon - Public Domain/Traditional live at Dusty Strings. April Dancing.,April Verch Band,"April Verch Live Performance at Dusty Strings, Seattle Washington","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",2010-03-12
20100312_bg_004sr_pl_ds_av,Tennessee Wagoner,"TASCAM DR00070 April Verch Band, April dancing, Song: (Called Johnny Wagoner in Cananda))Tennessee Wagoner - Public Domain/Traditional live footage at Dusty Strings",April Verch Band,"April Verch Live Performance at Dusty Strings, Seattle Washington","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",2010-03-12
20100312_bg_008sr_pl_ds_av,Tadoussac & Lindbergh,"TASCAM DR00074 April Verch Band, Song: Tadoussac & Lindbergh - Public Domain/Traditional Ottowa Valley, Canada, April dancing, live at Dusty Strings",April Verch Band,"April Verch Live Performance at Dusty Strings, Seattle Washington","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",2010-03-12
20100312_bg_012sr_pl_ds_av,Medley - The Riverboat's Gone,"TASCAM DR00078 April Verch Band, Song: Medley- The Riverboat's Gone; April Verch original & Bumblebee (Public Domain/KY Traditional) live footage at Dusty Strings",April Verch Band,"April Verch Live Performance at Dusty Strings, Seattle Washington","3-12-2010 ARPIL VERCH LIVE PERFORMANCE AT DUSTY STRINGS, SEATTLE, WA",2010-03-12
20100512_ca_001sr_pl_cda_bc,Seventy Three,Tascam DR000158 Bonsoir Catin performing Seventy Three (public domain) live at Café Des Amis,Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100512_ca_002sr_pl_cda_bc,Longue Pointe,Tascam DR000159 Bonsoir Catin performing Longue Pointe (public domain) live at Café Des Amis,Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100512_ca_007sr_pl_cda_bc,Chicken Coupe,"Tascam DR000164 Bonsoir Catin performing live @ Café Des Amis: Chicken Coupe, traditional tune (public domain)",Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100512_ca_008sr_pl_cda_bc,Popcorn,"Tascam DR000165 Bonsoir Catin performing live @ Café Des Amis: Popcorn, traditional tune (public domain)",Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100512_ca_010sr_pl_cda_bc,Mamma Rosan,"Tascam DR000167 Bonsoir Catin performing live @ Café Des Amis: Mamma Rosan, traditional tune (public domain)",Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
20100512_ca_012sr_pl_cda_bc,Moulin,"Tascam DR000169 Bonsoir Catin performing live @ Café Des Amis: Moulin, traditional tune (public domain) all members singing",Bonsoir Catin,"Bonsoir Catin Performing Live at Café Des Amis, Breaux Bridge, LA","5-12-10 “BONSOIR. CATIN” PERFORMING LIVE AT CAFE DES AMIS, BREAUX BRIDGE, LA (CHRISTINE BALFA-POWELL, ANYA BURGESS, KRISTI GUILLORY, YVETTE LANDRY)",2010-05-12
