Shelf number,MAVIS,ContentID
[RXF 3489],1172718-4-1,120438
[RXF 3632],1172866-4-1,119929
[RXF 3709],1173531-3-1,144941
[RXF 3661],1173755-4-1,119237
[RXF 4038],1174239-4-1,120997
[RXF 3997],1174618-4-1,122481
[RXF 4106],1174689-4-1,121517
[RXF 4159],1175168-4-1,123112
[RXF 4306],1176548-4-1,120536
[RXF 4738],1178570-3-1,158021
[RXF 4797],1179002-3-1,154420
[RXF 4801],1179061-3-1,154791
[RXF 6125],1185382,
[RXG 0041],1192279-3-1,190565
[RXF 5183],1195273-3-1,345267
[RXF 5186],1195281-3-1,347980
"[RXF 7294, RXF 7295]",1195371-3-1,373058
[RXF 7338],1196222,
[RXF 7375],1199965,
[RXF 7382],1200046,
RXF 7388,1200070-3-1,148695
RXF 7389,1200070-5-1,148697
[RXF 7655],1200116,
RXF 7679,1200282,
RXF 7680,1200282,
RXF 7681,1200282,
[RXF 7712],1200780,
[RXF 7640],1200829,
[RXF 7644],1200878-3-1,224073
[RXF 7730],1200987,
[RXF 7758],1201218-3-1,274279
[RXF 7764],1201227,
[RXF 7768],1201237,
[RXF 7772],1201250,
[RXF 8233],1202049-3-1,189384
[RXF 8234],1202050,
[RXF 8252],1202135-3-1,377448
[RXF 8311],1202700,
[RXF 8312],1202701,
[RXF 8254],1202737,
[RXF 7835],1202873,
[RXF 7839],1202878,
[RXF 7844],1203243-3-1,317164
[RXF 7874],1204165,
[RXF 7875],1204166,
[RXF 7877],1204169,
[RXF 8366],1204191-3-1,184628
[RXF 8368],1204215,
[RXF 8385],1204564,
[RXF 8684],1204669,
[RXF 8823],1205045,
[RXF 8829],1205076,
[RXF 8702],1205357-3-1,161031
[RXF 8856],1205909-3-1,184636
RXF 8850,1208285-3-1,190095
RXF 9109,1208285-5-1,190576
[RXF 9162],1220040-3-1,226475
[RXF 9179],1227196,
"[RXF 9242, RXF 9243]",1250845,
[RXF 9192],1294132,
[RXG 0216],1466466-3-1,27755
[RXG 0222],1485619-3-1,27927
[RXG 0262],1490491-3-1,378587
[RXG 0280],1521162,
[RXG 0287],1522280,
[RXG 0292],1588314,
[RXG 0291],1588347,
[RXG 0456],1588735-3-1,137222
[RXG 0484],1589012,
[RXG 0505],1593170,
[RXG 0518],1604166-3-1,135371
[RXG 0478],1604169-3-1,246540
[RXG 0523],1604594-3-1,135846
[RXG 0547],1604671,
[RXG 0548],1604674,
RYM 7991,1628254-3-1,45281
RYM 8657,1628254-6-1,76413
[RXG 0979],1631882,
[RXG 0994],1632797,
[RXG 1040],1640196,
[RYM 8352],1667620-3-1,70874
[RYM 8403],1668489-3-1,70902
[RXG 7003],1830589,
[RYN 0808],1836277-3-1,191870
[RXG 7099],1839121,
[RXF 3677],1172868-3-1,1306665
[RXF 3603],1173041-4-1,120499
[RXF 4014],1174062-4-1,124546
[RXF 4103],1174646-4-1,121513
[RXF 4114],1174711-4-1,123100
[RXF 4046],1175125-4-1,149076
[RXF 4154],1175162-3-1,138179
[RXF 5801],1183508-3-1,366803
[RXF 5180],1195258-3-1,345006
[RXF 5191],1195303-3-1,348047
[RXF 7326],1195893-3-1,188438
[RXF 7350],1199851-3-1,500469
[RXF 7368],1199920-4-1,214052
[RXF 7374],1199964,
[RXF 7773],1201251-3-1,374023
[RXF 7791],1201299-3-1,286021
[RXG 1040],1640196-3-1,225471
[RYM 8259],1647346-3-1,64963
[RYM 8556],1705568-3-1,69823
[RYM 6901],1705892-3-1,71389
[RYM 6906],1712919-3-1,67227
[RYM 9398],1810170-3-1,127261
[RGB 7647],1836363-3-1,243111
