id,date,type,status,priority,digitized,title,contributors,summary
1173531,"Mar 16, 1965",BROADCAST,1,1,1,St. Patrick's parade,Tony Schwartz (Producer),"""St. Patrick's Parade band music; different sections; the marching band, bagpipes, drums, etc. The clip-clop of horses. A child speaks descriptively about the parade."" (00:00)-from accompanying paperwork."
1174239,"May 28, 1963",BROADCAST,1,1,1,Favorite sounds,Tony Schwartz (Producer),"RXF 4038: Favorite sounds (Tony Schwartz, narrator ; various men and women, speakers) (0:00). ""Tony is at the New York Guild for the Jewish blind to present some sound stories. Blind people tell what their favorite sounds are. Morris Feldman likes classical music. Frieda London says that voices and sound give information to blind people. Alex Rolfman likes to hear his son. Margaritte Thomas loves music. Victoria Licht likes the voice of her parents. Leah Bougher likes the sound of birds. Margaret Dougherty likes the sound of music. Jimmy Polizzi likes the sound of church bells. Sophie McKonogie loves the sound of children playing. Anna Rabinowitz likes the birds. Julia Twimer likes church bells. Mary Schmidt likes the sound of running water. Some sounds are recorded: a country brook, birds chirping, and church bells.""--Accompanying collection documentation."
1174618,"Jan 28, 1964",BROADCAST,1,1,1,Taxi to Harlem,Tony Schwartz (Producer),"RXF 3997: Taxi to Harlem (Tony Schwartz, narrator and interviewer ; unidentified male taxi drivers, unidentified African-American woman, interviewees) (0:00). ""Taxi drivers talk about the dangers of going to Harlem. A black woman, from Harlem, speaks about her problem with cab drivers; discrimination""--Accompanying collection documentation."
1174689,"Apr 12, 1966",BROADCAST,1,1,1,Old auto horns,Tony Schwartz (Producer),"RXF 4106: Old auto horns (Tony Schwartz, narrator ; various car horns, listed in notes) (0:00)."
1176548,"Jan 1, 1960",COMPILED,1,1,1,Rough material #2,Tony Schwartz (Editor (Sound)),"RXF 4306: On colds (Tony Schwartz, narrator and interviewer ; various men and women, interviewees) (0:00) -- Fire in buidling (Tony Schwartz, narrator and interviewer ; various unidentified men and women, interviewees) (3:17) -- Music boxes (Tony Schwartz, narrator and interviewer ; various unidentified men, speakers) (10:20) -- Barnyard sounds at the Coliseum pet show (Gene Fallon, speaker ; Tony Schwartz, speaker) (17:27) -- Solution to the problem of high-fi: low-fi (Gene Fallon, speaker ; Tony Schwartz, interviewer ; unidentified man, interviewee) (37:26). ""Material for Gene Fallon. 1. On colds: folk art remedies not medical remedies. a) Lump of sugar soaked with kerosene, b) whiskey & black pepper, c) 12 oranges, nutmeg plaster, 8 oranges. 3:07 2. Fire in building 6:75 3. Music Boxes 7:03 4. Barnyard sounds at the Coliseum pet show: rooster, geese, dove, talking birds, ponies, bear, alley cat, city dog. Story of Tina. a) pet shop products, b) naming her, c) housebreaking her, d) comments about tail clipping, e) overcoming problems (ASPCA school for the owner, not the pet), f) grooming, g) Tina's false pregnancy. Conclusion: They (dogs) are not human, but they make us more human. 19:53 5. Solution to the problem of high-fi: low-fi (with a 1915 Edison phonograph). 5:53""--Accompanying collection documentation."
1173041,"Dec 15, 1964",BROADCAST,1,1,1,Santa Claus,Tony Schwartz (Producer),"RXF 3603: Santa Clause (Tony Schwartz, narrator ; various men who play Santa Claus for the public , various parents and children, speakers) (0:00). ""Few adults hear children asking Santa for Christmas gifts. We hear children speaking to Santa who asks if children want dolls or balloons. A little boy lists the many things that he wants. Tony interviews a Santa in the street (the bell ringing type). This Santa likes the kids and is paid well enough. In the summer many of his peers sell ice cream. The Bloomingdale's Santa reveals that he is an actor""--From collection documentation."
1173755,"Jul 7, 1970",BROADCAST,1,1,1,Traffic in New York,Michael Rowan (Interviewee) | Tony Schwartz (Producer),"RXF 3661: Traffic in New York (Tony Schwartz, interviewer ; Mike Rowan, interviewee) (0:00). ""An interview with Mike Rowan, who travels a lot. He thinks that the sidewalks should be made wider, and the streets narrower, in order to discourage people from bringing their cars into the city. We need a better public transportation system linked to the suburbs. Buckminster Fuller, says Rowan, points out that vertical transportation has been developing faster than horizontal transportation. Elevators and planes are a pleasure and safe when compared to an automobile""--Accompanying collection documentation."
1175168,"Apr 6, 1965",BROADCAST,1,1,1,Attitudes & the subways,Tony Schwartz (Producer),"RXF 4159: Attitudes & the subways (Tony Schwartz, narrator ; various unidentified men and women, speakers) (0:00)."
1179002,,,1,1,1,"Rough material: Nancy time lapse growth portrait, children and God,",Tony Schwartz (Producer) | Nancy Schwartz (Speaker),"""1. Nancy - time-lapse growth portrait, family tree. 2. Children and God: Title prayers, Who is God?, What does God do?, What is good and bad?, What is Heaven?, How do you pray and what for?, prayers over credits. 3. Fire in the apartment. 4. Portrait of Lincoln"" --Accompanying collection documentation."
1179061,"Feb 19, 1961",BROADCAST,1,1,1,Sounds from New York. Subway and Lincoln 1961-02-19,Tony Schwartz (Producer),"""Sounds from New York. 1. Sound story on the New York Subway System. A train roars into the 59th St. station. Tony tells about the subway system. We hear the sound of turnstiles, running trains, and passengers commenting on the subway system. They tell how much time they spend on the subway, how they feel about the subway, and what can be done to improve the subway. 2. Portrait of Lincoln: People tell what they think of the famous President. They focus on his honesty, his kind nature, his log cabin, and his love of books. An English man and a man from the Bronx talk about Abe.""--Accompanying collection documentation."
1192279,"Jan 1, 1951",RECORDED,1,1,1,Interviews with record collectors,Tony Schwartz (Interviewer),RXG 0041: Tony Schwartz interviews record collectors about their record purchases and listening habits (in record store) (00:00) -- TS interviews record collectors and listeners about their record purchases and listening habits (in quieter environment; at home?) (04:21).
1195273,,,1,1,1,Mothers calling children,Tony Schwartz (Interviewee),Anton-Mom (1:15) -- Amy-Connie (1:15) -- [no information] -- (:15) -- Susan (:45) -- Woman from Brooklyn interviewed by Tony (1:15) See paper file for accompanying material.
1195281,"Jan 1, 1956",RECORDED,1,1,1,Political street speakers and kids,Kitty Zann (Speaker) | Tony Schwartz (Sound Recordist),"Children election promos kids tell people to vote (2:06) -- Children election jingles in the style of playgorund songs Adali or Ike? with bouncing ball and jump rope (4:13) -- Democrats in Times Square noon rally for Wagner Miss ""Kitty Zann"" speaks chair for Women's league for Wagner (2:35) -- A typical street politician - literacy - public housing - opponent's record (4:48) -- American Labor party street speaker (1:29). See paper file for accompanying material."
1200070,,,1,1,1,Automobile,,RXF 7388 (reel 1): Sounds of old cars. 1906 Cadillac -- 1907 Autocar (03:00) -- 1916 Stutz-Bulldog (07:38) -- 1912 Stanley Steamer (10:37). RXF 7389 (reel 2): Sounds of different cars. 1911 Siimplex -- 1928 Ford Model A (05:34) -- 1907 Packard (06:36) -- 1912 Buick Model 35 (07:54) -- 1912 Model T (09:38) -- 1913 National (11:25) -- Parade? (13:25) -- 1925 Mercedes (15:25) -- 1911 Corbin (13:28) -- 1910 Pierce Arrow (16:17) -- Race of the Clouds at Mt. Washington (17:21) -- Crosley (17:30) -- VW (18:10) -- Porsche (19:15) -- Lester MG (20:00) -- Jaguar (20:35) -- Corvette (21:10) -- Jaguar (21:44) -- Ferrari (22:20) -- Maserati (23:26) -- Cooper (25:39).
1200878,"Apr 24, 1968",RECORDED,1,1,1,Excerpts of Martin Luther King and Coretta Scott King speeches given,Coretta Scott King (Speaker) | Martin Luther King (Speaker) | Tony Schwartz (Sound Recordist),"Introduction (Tony Schwartz) [00:00] 00:45) -- ""1. 15 ips - His own eulogy [00:45] (4:25) -- 2. 7 1/2 ips - His own eulogy [4:37] (3:35) -- 3. 3 3/4 ips - Union Hall on 42nd St. local 1199 [8:15] (42:00) -- 4. Mrs. MLK Jr., 3 weeks after his death, giving a speech on his behalf (recorded live by Tony Schwartz??)"" [28:27] -- on vietnam (MLK Jr.) [34:20] -- His own Eulogy [42:00]-- address to women (Mrs. Mlk Jr.) [47:16] -- Accompanying collection documentation."
1201299,"Aug 22, 1952",RECORDED,1,1,1,Games and play,Tony Schwartz (Sound Recordist),"Montage - football, winning, boxes, building a scooter (00:03) -- Brother/sister rhyme (2:47) -- Mother and baby, hand clapping rhymes, name games, stories, songs (3:10). See paper file for accompanying material."
1202049,"Jan 1, 1950",RECORDED,1,1,1,Construction sounds,Tony Schwartz (Producer),"RXF 8233: Partial contents: Street drilling (00:00) -- Welding spark, sparkle (03:48) -- Boiler room sounds (05:38) -- Pouring something (coal?) on a shoot (10:37) -- Steam blast cleaning of building (13:15) -- Street drilling (17:04) -- Steam blast cleaning of building (18:46) -- Hoist (chain) 53rd Street (19:43) -- Digging machinery 65th Street (16:16) -- Lumber yard talk and sawing (23:47) -- Hammering on steel beams and blasting (35:03) -- Hammering (36:42) -- Power shovel (37:26) -- Pile driver (41:38) -- Power shovel, ""steam"" shovel on 48th Street (42:26) -- construction sounds (44:24) -- Riveting (44:46)."
1203243,"Jan 1, 1960",RECORDED,1,1,1,Naming of dogs,,"Contents: 1. How and what people named dogs (1:51) -- 2. Training dogs, dogs' names, comments (2:56)."
1204191,"Jan 1, 1950",RECORDED,1,1,1,Elevator operators,,"Contents: 1. Department store elevator operator -- 2. Elevator door opening -- 3. Elevator ride -- 4. Addison Hall (W. 57th St.) elevator -- 5. Ride down elevator (12 E. 41st St.) -- 6. Ride up elevator (12 E. 41st St.) -- 7. Ride in Doctor's Hospital to 11th floor -- 8. Ride up ""Best & Co."" to 5th floor."
1466466,,,1,1,1,Listening game #2,,"""Sound effects for the Listening Game (Listing included w/tape)"" RXG0216: Sound effects for the Listening Game (0:0) -- Steam Train (0:0) -- Jet (0:44) -- Pan Flute (0:55) -- American indian chant (1:25) -- indian chant (1:48) -- American indian chant (2:25) -- Baby playing (2:48) -- rotary dialer (3:17) -- coin (3:38) -- hammer on metal (3:42) -- hammer (3:53) -- Fried eggs (4:4) -- Washing dishes (4:34) -- wine opening and pouring (5:11) -- egg beating (5:30) -- drain (5:48) -- Steam ship (6:4) -- fog horn (6:33) -- faucet and plane (7:1) -- dog barking (7:28) -- clock tower bells (7:36) -- Birds (7:51) -- rain and thunder (8:10) -- Alley cats (8:37) -- baby whining (8:45) -- front loader and garbage cans (8:58) -- jack hammer (9:19) -- siren (9:39) -- police siren (9:58) -- marching band (10:8) -- Diesal train (10:36) -- Jet engine reving up (11:3) -- Jet engine (11:36) -- Jet engine (12:0) -- Air raid sirens and dog barking (12:22) -- Fire engine (12:44) -- lighting colman stove (13:3) -- End (13:23)"
1485619,,,1,1,1,Loops (open),,"""Various loops""--Accompanying collection documentation. Contents: 1. Seagulls -- 2. Gilbert clock."
1604594,"Feb 1, 1963",RECORDED,1,1,1,"Night, 1963-02",Tony Schwartz (Narrator),"Nature sounds with narration by Tony Schwartz and others. 1. A country night, narration and sounds heard at night. (Tony Schwartz, narrator) (00:00) -- 2. A country night, narration and sounds heard at night. (03:34) -- 3. A country night, narration and sounds heard at night. This recording only has the opening portion of the narration but the sounds of the night remain. (06:56) -- 4. Original recordings of the narration portion of the country night program with multiple takes. (10:08) -- 5. A country night, narration and sounds heard at night. (Unidentified female narrator) (16:32) -- 6. Original recordings of the narration portion of the country night program with an unidentified female narrator and multiple takes under the direction of Tony Schwartz. (19:37) -- 7. Recording of a telephone conversation between Tony Schwartz and an unidentified male speaker. Short rhymes describing different scenes. (24:35)."
