id,filename,date,title,contributors,summary
120438,120438.wav,"Sep 10, 1963",Words & tone,Tony Schwartz (Producer) | Reenah Schwartz (Participant),"RXF 3489: What is a song? (Tony Schwartz, narrator ; unidentified old man, unidentified cab driver, unidentified male plumber; Mrs. Tony Schwartz, unidentified female singing teacher, unidentified man, speakers) (0:00)."
119929,119929.wav,"Jul 18, 1967",It's a boy,Tony Schwartz (Producer),"RXF 3632: It's a boy (Tony Schwartz, narrator ; unidentified male doctor, speaker) (0:00) -- I'll fly away (""Kayla,"" vocals ; Michaela Schwartz, speaker) (1:45). Sunday at 3:03 the doctor tells Tony Schwartz, ""It's a boy."" The name will be Anton or Alec. New life in the house is wonderful. The nurse sings a lullaby to Michaela: ""Fly Away."""
144941,144941.wav,"Mar 16, 1965",St. Patrick's parade,Tony Schwartz (Producer),"""St. Patrick's Parade band music; different sections; the marching band, bagpipes, drums, etc. The clip-clop of horses. A child speaks descriptively about the parade."" (00:00)-from accompanying paperwork."
119237,119237.wav,"Jul 7, 1970",Traffic in New York,Michael Rowan (Interviewee) | Tony Schwartz (Producer),"RXF 3661: Traffic in New York (Tony Schwartz, interviewer ; Mike Rowan, interviewee) (0:00). ""An interview with Mike Rowan, who travels a lot. He thinks that the sidewalks should be made wider, and the streets narrower, in order to discourage people from bringing their cars into the city. We need a better public transportation system linked to the suburbs. Buckminster Fuller, says Rowan, points out that vertical transportation has been developing faster than horizontal transportation. Elevators and planes are a pleasure and safe when compared to an automobile""--Accompanying collection documentation."
120997,120997.wav,"May 28, 1963",Favorite sounds,Tony Schwartz (Producer),"RXF 4038: Favorite sounds (Tony Schwartz, narrator ; various men and women, speakers) (0:00). ""Tony is at the New York Guild for the Jewish blind to present some sound stories. Blind people tell what their favorite sounds are. Morris Feldman likes classical music. Frieda London says that voices and sound give information to blind people. Alex Rolfman likes to hear his son. Margaritte Thomas loves music. Victoria Licht likes the voice of her parents. Leah Bougher likes the sound of birds. Margaret Dougherty likes the sound of music. Jimmy Polizzi likes the sound of church bells. Sophie McKonogie loves the sound of children playing. Anna Rabinowitz likes the birds. Julia Twimer likes church bells. Mary Schmidt likes the sound of running water. Some sounds are recorded: a country brook, birds chirping, and church bells.""--Accompanying collection documentation."
122481,122481.wav,"Jan 28, 1964",Taxi to Harlem,Tony Schwartz (Producer),"RXF 3997: Taxi to Harlem (Tony Schwartz, narrator and interviewer ; unidentified male taxi drivers, unidentified African-American woman, interviewees) (0:00). ""Taxi drivers talk about the dangers of going to Harlem. A black woman, from Harlem, speaks about her problem with cab drivers; discrimination""--Accompanying collection documentation."
121517,121517.wav,"Apr 12, 1966",Old auto horns,Tony Schwartz (Producer),"RXF 4106: Old auto horns (Tony Schwartz, narrator ; various car horns, listed in notes) (0:00)."
123112,123112.wav,"Apr 6, 1965",Attitudes & the subways,Tony Schwartz (Producer),"RXF 4159: Attitudes & the subways (Tony Schwartz, narrator ; various unidentified men and women, speakers) (0:00)."
120536,120536.wav,"Jan 1, 1960",Rough material #2,Tony Schwartz (Editor (Sound)),"RXF 4306: On colds (Tony Schwartz, narrator and interviewer ; various men and women, interviewees) (0:00) -- Fire in buidling (Tony Schwartz, narrator and interviewer ; various unidentified men and women, interviewees) (3:17) -- Music boxes (Tony Schwartz, narrator and interviewer ; various unidentified men, speakers) (10:20) -- Barnyard sounds at the Coliseum pet show (Gene Fallon, speaker ; Tony Schwartz, speaker) (17:27) -- Solution to the problem of high-fi: low-fi (Gene Fallon, speaker ; Tony Schwartz, interviewer ; unidentified man, interviewee) (37:26). ""Material for Gene Fallon. 1. On colds: folk art remedies not medical remedies. a) Lump of sugar soaked with kerosene, b) whiskey & black pepper, c) 12 oranges, nutmeg plaster, 8 oranges. 3:07 2. Fire in building 6:75 3. Music Boxes 7:03 4. Barnyard sounds at the Coliseum pet show: rooster, geese, dove, talking birds, ponies, bear, alley cat, city dog. Story of Tina. a) pet shop products, b) naming her, c) housebreaking her, d) comments about tail clipping, e) overcoming problems (ASPCA school for the owner, not the pet), f) grooming, g) Tina's false pregnancy. Conclusion: They (dogs) are not human, but they make us more human. 19:53 5. Solution to the problem of high-fi: low-fi (with a 1915 Edison phonograph). 5:53""--Accompanying collection documentation."
158021,158021.wav,"Jun 9, 1968",Ted Carpenter and Tony Schwartz on museums 1968-06-09,Tony Schwartz (Producer) | Edmund Snow Carpenter (Speaker),"""Ted Carpenter with Tony on museums, museums of the past, in different cultures, science and art historically, functions of museums, originals vs. reproductions, collections of sound, structure of museums, importance of heritage to people "" (00:00) --Accompanying collection documentation."
